,ID,TOPONYME,geometry
20,BDCAEROD0000000017183163,aérodrome de belfort-chaux,"POLYGON ((6.83192719098028 47.69465494752792, 6.830850006266251 47.69580496156537, 6.827372390689165 47.69869527860869, 6.82776448108027 47.69954481696833, 6.827843712071469 47.69984860536346, 6.827564329366179 47.70127342502934, 6.827202524667925 47.70205303196364, 6.827028071129911 47.70298780443314, 6.827053353191082 47.70359974169016, 6.827323764210265 47.70411173788421, 6.8277126902305945 47.70460092895042, 6.82840435215296 47.70523429628208, 6.828580192453939 47.70539614622748, 6.834773916516125 47.70557158854624, 6.836052823445698 47.70381027011685, 6.835090960816491 47.70064912950224, 6.835125664172339 47.699963131250044, 6.8351421283195855 47.6978187987498, 6.835162187548838 47.69583564860142, 6.833839902390216 47.69487787490537, 6.83192719098028 47.69465494752792))"
21,BDCAEROD0000000017183171,aérodrome de joigny,"POLYGON ((3.390826266255136 47.992260444276766, 3.390295196186185 47.99387667410894, 3.3871932204699498 47.99356835139102, 3.3870300982755306 47.99454710655066, 3.402620946257064 47.996248733725245, 3.4024116781340177 47.99588138056007, 3.401971525635523 47.995300633942215, 3.401638464091866 47.99487340715124, 3.3964841255641276 47.99426274410603, 3.393345579007042 47.99391241025912, 3.3937279418297788 47.99286451758838, 3.390826266255136 47.992260444276766))"
22,BDCAEROD0000000017183138,aérodrome de pont-sur-yonne,"POLYGON ((3.242169585506681 48.28512572534558, 3.241471654687457 48.28609347401688, 3.23879044449487 48.28525135966673, 3.2384628102987825 48.28583775202322, 3.2383518317823246 48.28723257355671, 3.2462983212613463 48.28991731636814, 3.239171406963655 48.29641723625119, 3.2417490436260405 48.29748358165574, 3.2435843085310276 48.29574603045195, 3.250135173075226 48.289871478400705, 3.2514658555140614 48.28873678585921, 3.2487741086705904 48.2874387528513, 3.2496964642170187 48.286344524627296, 3.246858522445229 48.285170918973904, 3.2463043174871147 48.28687348463088, 3.2446184466125567 48.28643700898241, 3.2443514304695205 48.285837433463165, 3.242169585506681 48.28512572534558))"
23,BDCAEROD0000000219798132,hélistation de magny-cours,"POLYGON ((3.1534065692026085 46.85828159959144, 3.1582287173617187 46.860881669504415, 3.161472391072296 46.86004341456321, 3.1537385978262518 46.85595007401958, 3.1525723801525207 46.85710141054508, 3.153743956811751 46.85783816285722, 3.1534065692026085 46.85828159959144))"
24,BDCAEROD0000000229069723,hélistation de nevers centre hospitalier,"POLYGON ((3.1220342384582596 46.98165167882783, 3.1224039578312737 46.981670194447744, 3.122437605895973 46.98142436439983, 3.122063931318173 46.98140135134438, 3.1220342384582596 46.98165167882783))"
25,BDCAEROD0000000017183228,aéroport de nevers-fourchambault,"POLYGON ((3.113374447004277 46.99701496616889, 3.1128597522850474 46.99819941880166, 3.1095783557492815 46.99787575724333, 3.108764864962455 46.998420332451154, 3.1078709201645425 46.998883946404234, 3.107692677142534 46.99925145170389, 3.106758394455884 46.999292834984786, 3.1080323593310863 46.9999858118259, 3.1083330047036917 47.00093718932416, 3.1075448620316464 47.00432770374824, 3.103338929415643 47.005922443895976, 3.1026920377968907 47.00557909197564, 3.102023111631824 47.007501906885246, 3.105066526744266 47.00835539811063, 3.1049277991329562 47.00876337718294, 3.1126802614944507 47.006784330335186, 3.1132125641633417 47.00391262978481, 3.1197907155670674 47.00340180048571, 3.1198864833435276 47.00148397785045, 3.1228865844180276 47.00067771946182, 3.1225415758384454 46.99768625470276, 3.119761051306988 46.99892624161096, 3.1144923537650633 46.999190886406105, 3.115204370929034 46.99736698805848, 3.113374447004277 46.99701496616889))"
26,BDCAEROD0000000017183201,aérodrome de clamecy,"POLYGON ((3.506641192873925 47.4334584316018, 3.5067453825953367 47.43633863564141, 3.506611038517971 47.438687853942234, 3.506548294960132 47.44187484673911, 3.508646722222255 47.44179727967939, 3.508904382849194 47.441403664883524, 3.510595086107582 47.44115050459837, 3.510129318622518 47.439335936165534, 3.5085509226429696 47.43925372363996, 3.508306222150636 47.4334610729597, 3.506641192873925 47.4334584316018))"
27,BDCAEROD0000000244425639,aérodrome de chailley,"POLYGON ((3.7166154818093693 48.08741213716943, 3.7129190939783245 48.071455906666394, 3.7098424035512134 48.071716558935044, 3.7135764528957123 48.087644752891336, 3.7166154818093693 48.08741213716943))"
28,BDCAEROD0000000294454013,aéroport de dijon-longvic,"POLYGON ((5.096185468812399 47.252037402944744, 5.094797084195993 47.25255691094093, 5.094400029914026 47.25407794826331, 5.092728338009948 47.25500059996224, 5.092262294083407 47.26005221086637, 5.089006782125251 47.263081880844666, 5.083384786679549 47.26380981139194, 5.083050331168662 47.26296298278589, 5.081866939068053 47.26308149434197, 5.081797146381331 47.26172379225895, 5.080803817937085 47.26220631242003, 5.081011537921978 47.26265106711895, 5.077621674528003 47.267187653081365, 5.0767583670602185 47.26764889397933, 5.078678008632867 47.26898065902286, 5.077739250048044 47.26974945010651, 5.07592933187774 47.2687579197608, 5.070251041696747 47.273572946283686, 5.072862905783919 47.275491320415675, 5.068534124995017 47.27853683226441, 5.068445912102814 47.279132772574414, 5.07141777714399 47.282419908776156, 5.072741764942363 47.28192076706038, 5.07379233775132 47.28177861548043, 5.0754001035993275 47.28191196422769, 5.076727826691279 47.282024188107954, 5.07790357810589 47.28251825398617, 5.079266702975257 47.283305233792916, 5.079824277533518 47.28410213936081, 5.079495591156974 47.28491042835201, 5.079138807588891 47.28571111447933, 5.079435920039771 47.28634338413329, 5.080106871917465 47.2867861380355, 5.081228963803592 47.286984850335784, 5.082472457367793 47.28673019347746, 5.083411117632158 47.286464787413045, 5.0838804137135485 47.28607542289678, 5.084398942827136 47.28535196498034, 5.0851953301836135 47.28438846452216, 5.086268090725519 47.28362441517018, 5.0869729846183205 47.28320288247625, 5.088083799570941 47.28294244470251, 5.093704660321348 47.284716110052265, 5.0952739404629135 47.28487689715487, 5.096311716943484 47.28447451027303, 5.097404261173955 47.28361093570636, 5.09804480770796 47.282425018069596, 5.0986188544634405 47.28150236317186, 5.099746169391302 47.28054897874543, 5.104539452171347 47.27835479247562, 5.102681382049576 47.27720153968485, 5.101834725899946 47.276429787811594, 5.100966673253656 47.274974886637516, 5.099793965690514 47.273544406487396, 5.098878168132181 47.272693734806445, 5.09578361499623 47.27090442837023, 5.098553539484538 47.25259254752677, 5.09728252747318 47.252560610303036, 5.097311850379344 47.25209178093342, 5.096185468812399 47.252037402944744))"
29,BDCAEROD0000000017183245,aérodrome de lons-le-saunier-courlaoux,"POLYGON ((5.465343547466902 46.672396260112514, 5.465185938689082 46.67307619295772, 5.464061474722492 46.67307063137505, 5.46319496411502 46.67347211115791, 5.46137030808873 46.67335093616739, 5.462703730308997 46.676060914317624, 5.4637018144771945 46.6756737292486, 5.4650925129009424 46.67779599347944, 5.463832788429383 46.678388801114615, 5.465223746720534 46.68117859333007, 5.465664997992658 46.68135468482871, 5.466384954378842 46.68089418185822, 5.466877572376778 46.68038541340529, 5.467232267409042 46.679952579106505, 5.467779058011633 46.679685872583256, 5.468694388816627 46.67943555434901, 5.4698411573178705 46.67915141739292, 5.4709073034459434 46.67902305259275, 5.471344912086888 46.67911902435405, 5.471230124899737 46.68007730927357, 5.472378955383963 46.68116150794895, 5.473070543814679 46.6811429944002, 5.473322288767468 46.68028985699913, 5.473587856420771 46.679912975512444, 5.4740064311956695 46.67967693049651, 5.4747830677012965 46.67931334377123, 5.475475419098222 46.67885247609746, 5.476676612833389 46.678586013095156, 5.477172514560852 46.67855368247894, 5.477541422707984 46.67814753296239, 5.47770385778198 46.67757648091546, 5.477487625437511 46.6769964928841, 5.476762440089662 46.67644911781177, 5.477193354573815 46.67599658674421, 5.477802108366137 46.675655522011496, 5.477639214133477 46.675326623173355, 5.476446178009685 46.67370291348158, 5.474809211470407 46.673450876705374, 5.469151156371121 46.672868368326256, 5.465343547466902 46.672396260112514))"
30,BDCAEROD0000000017183222,aéroport de dole-jura,"POLYGON ((5.416410558808615 47.03057681860827, 5.413324147995632 47.03370482925254, 5.4170474410142795 47.0354437579606, 5.41674993011189 47.03668491450521, 5.416500572599266 47.03806017418872, 5.415645316613851 47.03991109456098, 5.4327355960115264 47.05012894354802, 5.435831914112093 47.052215578546324, 5.4432271683885265 47.04820774404228, 5.445569002937597 47.04451641447046, 5.443621983207858 47.04319118205121, 5.4415545278085995 47.04432753143242, 5.423285815356362 47.03514995862452, 5.424144391427214 47.03408435920209, 5.416410558808615 47.03057681860827))"
31,BDCAEROD0000000017183252,aérodrome de saint-yan,"POLYGON ((4.026804911074059 46.39924038173705, 4.022779767160565 46.403250604199336, 4.021026709761833 46.405013344726385, 4.020470153266939 46.404697730332785, 4.019432953757557 46.40562194555884, 4.01501497549021 46.40368013579311, 4.01434440088315 46.40430206490225, 4.014979384347421 46.40505737431219, 4.013649908520402 46.40665233325773, 4.005586369246961 46.4130877412271, 4.003911715235727 46.416612764721975, 4.002610958485152 46.41831539867897, 4.003325196669721 46.42423463606555, 4.005362216832596 46.42531176705092, 4.009819237948152 46.423374110396765, 4.011335146729632 46.421903628148954, 4.015705304451754 46.42351281455758, 4.019227565180875 46.42042770964628, 4.024000795334252 46.417415027490684, 4.0245751791830795 46.414994632561246, 4.02777349915999 46.41488393436884, 4.028226322468243 46.413140016693625, 4.030660928762534 46.413202712549996, 4.031180724011577 46.41190844662428, 4.0302405720048835 46.41183228469545, 4.030434801144152 46.41053375541106, 4.0273515264578945 46.41010227149196, 4.028291961806655 46.40687617767608, 4.024960467989768 46.4068719211639, 4.023435544946712 46.406777539486846, 4.021366559556597 46.4063403993291, 4.024174224623186 46.403751407149386, 4.027422794318811 46.4002569339154, 4.026804911074059 46.39924038173705))"
32,BDCAEROD0000000017183226,aérodrome d'autun-bellevue,"POLYGON ((4.2619302501688665 46.95902754417787, 4.259959969642598 46.95907880311628, 4.258165205571931 46.96254627740103, 4.258001817879883 46.96349444743122, 4.258830351154159 46.963885212961635, 4.259959734806787 46.964937228709054, 4.260194859554423 46.96599540611722, 4.260315396512449 46.97122127596567, 4.259451433363714 46.97168634637678, 4.259958983520602 46.973369169145954, 4.261078339568081 46.97415114433264, 4.263111061626043 46.972920484064865, 4.263864095046634 46.97339398303731, 4.267138570264423 46.97160215645023, 4.265745851742058 46.97015869718458, 4.268261316725616 46.96916216672042, 4.26737159097993 46.968187739082346, 4.262628099688922 46.97043599298401, 4.2619302501688665 46.95902754417787))"
33,BDCAEROD0000000017183250,aérodrome de montceau-les-mines-pouilloux,"POLYGON ((4.330296919010963 46.60124240649543, 4.329929941330278 46.60402939948729, 4.339465686502709 46.604132632292924, 4.34121130588404 46.60471378379296, 4.341098341495587 46.603788427666146, 4.345878370861783 46.60380351296016, 4.345920740626058 46.60282230159593, 4.339126388862264 46.6027164126502, 4.3386350874736 46.602131386094406, 4.334552229443871 46.60224746732973, 4.332191389316762 46.601613935232756, 4.332374782707626 46.60125968288247, 4.331238128301323 46.6012620912812, 4.330296919010963 46.60124240649543))"
34,BDCAEROD0000000017183225,aéroport de chalon-champforgeuil,"POLYGON ((4.821723217116286 46.817725096774716, 4.818434895094955 46.81950634027889, 4.815718074793093 46.818575688766025, 4.815403432979982 46.82058004350502, 4.816182193942015 46.82068032653564, 4.815400617202452 46.82421680916983, 4.814097496333255 46.82440668686496, 4.814733298647518 46.826544644082716, 4.812995517065958 46.832099165598606, 4.812304239734232 46.83218661105313, 4.81258353726696 46.83284686902145, 4.8198483043186275 46.83538090360919, 4.827203638059852 46.827660335649654, 4.828027434108676 46.82703031740709, 4.828391753456968 46.826122098841175, 4.828110005694141 46.825705083771396, 4.826744787278959 46.825960036207704, 4.823678001342429 46.824586612784856, 4.8229482959585175 46.82438653317522, 4.82211166705536 46.82444031812302, 4.8206964150668625 46.82476804155107, 4.821723217116286 46.817725096774716))"
35,BDCAEROD0000000017183248,aérodrome de tournus-cuisery,"POLYGON ((4.973069050193338 46.55785476153012, 4.973065091938046 46.55886273729229, 4.971638744867102 46.55877833119173, 4.9713401997223166 46.560414679600825, 4.970909649139039 46.56042479688884, 4.970826643825 46.562460953831454, 4.973964290673188 46.56205560182737, 4.975525165129455 46.566493546914536, 4.977582292308023 46.56693180408461, 4.97853842621747 46.56672072526644, 4.976173777669559 46.55784532853363, 4.973069050193338 46.55785476153012))"
36,BDCAEROD0000000017183200,aérodrome de pouilly-maconge,"POLYGON ((4.558937447353485 47.216758693539774, 4.55750263105916 47.21718408827605, 4.554652232238191 47.21806247905698, 4.554980928097613 47.21887207008785, 4.5547294108061775 47.21940670652622, 4.555861251905547 47.21951577715768, 4.556121798157427 47.21984184116589, 4.559376916076649 47.22079487690809, 4.563110867880974 47.22585009009965, 4.5637640285786425 47.22567469710241, 4.564199417702481 47.225192487125945, 4.564431457541391 47.22412683145083, 4.564568535380661 47.223295671886206, 4.564878807960364 47.22210289583983, 4.564936097455112 47.22189141813512, 4.565564083012711 47.22157948628931, 4.565736997528216 47.21998246126942, 4.565938663405157 47.21973661598147, 4.56701772662217 47.21943928954813, 4.564008001631454 47.21683713984836, 4.561634690745181 47.21739230714524, 4.559159120930968 47.21697451932146, 4.558937447353485 47.216758693539774))"
